d1,16c,26883.71
d1,24c,27762.13
d1,8c,18321.92
d2,16c,31712.57
d2,24c,32476.39
d2,8c,21395.78
d3,16c,27268.43
d3,24c,28205.73
d3,8c,18713.92
d4,16c,28908.60
d4,24c,29866.95
d4,8c,20337.90
d5,16c,30061.27
d5,24c,30966.32
d5,8c,20697.58
d6,16c,30641.03
d6,24c,31356.84
d6,8c,20567.79
d7,16c,29242.95
d7,24c,30007.14
d7,8c,20045.18
d8,16c,27899.96
d8,24c,28607.30
d8,8c,19303.29
d9,16c,29748.72
d9,24c,30678.62
d9,8c,20646.86
s1,16c,29490.28
s1,24c,30095.58
s1,8c,20351.72
s2,16c,29996.89
s2,24c,30947.55
s2,8c,20606.89
s3,16c,29035.45
s3,24c,30044.92
s3,8c,19709.73
s4,16c,28764.24
s4,24c,29714.72
s4,8c,19753.84
s5,16c,30450.95
s5,24c,32153.30
s5,8c,20685.50
s6,16c,28391.88
s6,24c,29162.02
s6,8c,19653.09
s7,16c,30651.74
s7,24c,30670.00
s7,8c,21012.26
s8,16c,29305.51
s8,24c,30299.62
s8,8c,20459.30
s9,16c,29699.82
s9,24c,30388.70
s9,8c,20774.09
